unique_id,strategy,zone,land_size,last_crop,last_yield,last_cost,last_water,last_profit,mean_yield,mean_profit,goal,n_obs
89,INDIVIDUAL,IRRIGATED_SOUSS,3.686003123037696,green_beans,10.150244741292296,11115.153206137284,450.0,158585.5466852274,8.044117994625408,117178.63327227902,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
90,SHARED,SAHARAN,2.790199915882597,watermelon,12.028162867107145,10135.428819122117,300.0,92352.381570608,17.449155769849007,147268.42735818203,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
91,INDIVIDUAL,SAHARAN,2.790199915882597,date_palms,1.5966780481889074,8582.50537267355,300.0,94352.51731004412,2.3008327223002314,146524.0191354722,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
92,SHARED,SEMI_ARID_WARM,5.854411271076632,grapes,8.41733920077056,6207.75293326641,450.0,371113.1377238393,7.055315060317897,306208.4798581113,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",60
93,INDIVIDUAL,SEMI_ARID_WARM,5.854411271076632,barley,1.4310936445861886,4824.439200124953,450.0,4087.2641039313708,1.036360157677277,-4830.623158741113,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
94,SHARED,SAHARAN,9.26644144956132,watermelon,9.86633996718243,9898.295275778088,300.0,236900.97192715813,18.612978608859137,528229.4852011192,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
95,INDIVIDUAL,SAHARAN,9.26644144956132,henna,0.3175930185961698,8497.417950605557,300.0,-58728.71755278398,0.5083086054068825,-46711.384785622635,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
96,SHARED,ARID,1.1752906814724908,almonds,0.5046266153093747,5933.793035428111,450.0,7258.280097105862,0.5059682537313583,7296.118929906763,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
97,INDIVIDUAL,ARID,1.1752906814724908,barley,0.9777687237665225,6333.255062718032,450.0,-3008.7976881134073,0.7571538877399221,-4009.3845269222797,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
98,SHARED,SEMI_ARID_COOL,3.1550707930425292,durum_wheat,1.411037981132404,5871.587428437132,450.0,3490.9183626581626,1.322872043847313,2115.279817535357,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",60
99,INDIVIDUAL,SEMI_ARID_COOL,3.1550707930425292,barley,0.7841678228024047,5380.6656271673855,450.0,-7428.809793367249,0.7427817375687324,-7932.702688348728,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
